,train_file,predict
0,train/dog/dog.11481.jpg,拉布拉多
1,train/cat/cat.680.jpg,英国长毛猫
2,train/dog/dog.7639.jpg,中华田园犬
3,train/cat/cat.9695.jpg,非动物
4,train/cat/cat.3139.jpg,缅因猫
5,train/dog/dog.10186.jpg,拉布拉多
6,train/dog/dog.9634.jpg,霍夫瓦尔特犬
7,train/cat/cat.10274.jpg,狮子猫
8,train/cat/cat.2657.jpg,奶牛猫
9,train/dog/dog.3905.jpg,卷毛比熊犬
10,train/cat/cat.5561.jpg,美国短毛猫
11,train/cat/cat.5791.jpg,中国狸花猫
12,train/cat/cat.9282.jpg,土猫
13,train/dog/dog.5005.jpg,国王牧羊犬
14,train/cat/cat.1275.jpg,金吉拉猫
15,train/dog/dog.1957.jpg,大丹
16,train/dog/dog.9843.jpg,腊肠犬
17,train/dog/dog.11500.jpg,意大利灵缇犬
18,train/dog/dog.4106.jpg,西西伯利亚莱卡犬
19,train/dog/dog.12474.jpg,丹麦老式指示猎犬
20,train/dog/dog.639.jpg,史宾格犬
21,train/dog/dog.9687.jpg,中亚牧羊犬
22,train/cat/cat.5451.jpg,美国短毛猫
23,train/cat/cat.2311.jpg,哈瓦那棕猫
24,train/dog/dog.11812.jpg,中华田园犬
25,train/cat/cat.780.jpg,孟买猫
26,train/cat/cat.9500.jpg,褴褛猫
27,train/cat/cat.6604.jpg,卡特尔猫
28,train/dog/dog.1741.jpg,贵宾犬/贵妇犬
29,train/cat/cat.2222.jpg,孟买猫
30,train/dog/dog.4194.jpg,吉娃娃犬
31,train/dog/dog.8948.jpg,戈登塞特犬
32,train/cat/cat.6642.jpg,美国硬毛猫
33,train/cat/cat.4745.jpg,奶牛猫
34,train/cat/cat.2570.jpg,布偶猫
35,train/dog/dog.8005.jpg,阿兰多獒犬
36,train/dog/dog.9920.jpg,马尔济斯
37,train/dog/dog.4067.jpg,迷你雪纳瑞
38,train/cat/cat.9762.jpg,西伯利亚猫
39,train/cat/cat.6922.jpg,奶牛猫
40,train/dog/dog.9622.jpg,穆托尔猎犬
41,train/cat/cat.6914.jpg,狮子猫
42,train/dog/dog.5171.jpg,切萨皮克海湾寻回犬
43,train/dog/dog.11993.jpg,斯塔福斗牛梗
44,train/cat/cat.6201.jpg,埃及猫
45,train/dog/dog.10825.jpg,拉布拉多
46,train/cat/cat.6953.jpg,孟买猫
47,train/cat/cat.11308.jpg,奶牛猫
48,train/dog/dog.5991.jpg,拉布拉多
49,train/dog/dog.11521.jpg,澳洲野狗
50,train/dog/dog.2732.jpg,中华田园犬
51,train/cat/cat.4911.jpg,美国短毛猫
52,train/dog/dog.8582.jpg,中华田园犬
53,train/dog/dog.8414.jpg,斯塔福斗牛梗
54,train/cat/cat.2083.jpg,孟买猫
55,train/cat/cat.8518.jpg,缅因猫
56,train/dog/dog.6706.jpg,迷你雪纳瑞
57,train/cat/cat.5857.jpg,三色猫
58,train/dog/dog.10250.jpg,迷你雪纳瑞
59,train/dog/dog.8585.jpg,拉布拉多
60,train/cat/cat.6512.jpg,非洲野猫
61,train/dog/dog.4215.jpg,拉萨犬
62,train/dog/dog.12006.jpg,猎浣熊犬
63,train/cat/cat.10797.jpg,中国狸花猫
64,train/cat/cat.8915.jpg,蓝眼白猫
65,train/cat/cat.6393.jpg,波斯猫
66,train/dog/dog.7778.jpg,罗得西亚脊背犬
67,train/cat/cat.8707.jpg,阿比西尼亚猫
68,train/dog/dog.690.jpg,海根猎犬
69,train/cat/cat.3638.jpg,尼比龙猫
70,train/cat/cat.322.jpg,狮子猫
71,train/cat/cat.3791.jpg,中国狸花猫
72,train/cat/cat.2482.jpg,德国卷毛猫
73,train/cat/cat.9.jpg,土耳其梵猫
74,train/cat/cat.419.jpg,玳瑁猫
75,train/dog/dog.8321.jpg,拉布拉多
76,train/cat/cat.3903.jpg,美国短毛猫
77,train/cat/cat.3160.jpg,缅因猫
78,train/dog/dog.649.jpg,日本㹴
79,train/dog/dog.2715.jpg,迷你鹿犬
80,train/cat/cat.10148.jpg,曼切堪猫
81,train/dog/dog.5142.jpg,澳洲野狗
82,train/cat/cat.7129.jpg,三色猫
83,train/cat/cat.3061.jpg,孟买猫
84,train/dog/dog.2312.jpg,拉布拉多
85,train/dog/dog.11662.jpg,腊肠犬
86,train/dog/dog.6715.jpg,中华田园犬
87,train/cat/cat.10024.jpg,奶牛猫
88,train/dog/dog.1.jpg,切萨皮克海湾寻回犬
89,train/cat/cat.1367.jpg,中华田园猫
90,train/cat/cat.2464.jpg,缅因猫
91,train/cat/cat.5290.jpg,奶牛猫
92,train/dog/dog.5694.jpg,金毛犬
93,train/dog/dog.808.jpg,中华田园犬
94,train/cat/cat.11459.jpg,家猫
95,train/dog/dog.1601.jpg,小猎犬拉布拉多杂交狗
96,train/dog/dog.7664.jpg,猎浣熊犬
97,train/cat/cat.849.jpg,波斯猫
98,train/cat/cat.6757.jpg,奶牛猫
99,train/cat/cat.5328.jpg,缅因猫
100,train/cat/cat.7702.jpg,豹猫
101,train/dog/dog.5050.jpg,澳洲野狗
102,train/cat/cat.1737.jpg,泰国暹罗猫
103,train/cat/cat.71.jpg,孟买猫
104,train/dog/dog.1546.jpg,拉布拉多
105,train/cat/cat.10577.jpg,雪鞋猫
106,train/dog/dog.9261.jpg,白色德国牧羊犬
107,train/dog/dog.8725.jpg,斯塔福斗牛梗
108,train/dog/dog.8521.jpg,中华田园犬
109,train/cat/cat.4952.jpg,喜马拉雅猫
110,train/cat/cat.4415.jpg,缅因猫
111,train/dog/dog.10139.jpg,中华田园犬
112,train/cat/cat.9023.jpg,挪威森林猫
113,train/cat/cat.2099.jpg,奶牛猫
114,train/dog/dog.10711.jpg,中国昆明犬
115,train/dog/dog.9049.jpg,斯塔福斗牛梗
116,train/cat/cat.838.jpg,玳瑁猫
117,train/dog/dog.10531.jpg,罗威纳犬
118,train/dog/dog.8605.jpg,金毛犬
119,train/dog/dog.12265.jpg,威玛猎犬
120,train/cat/cat.1693.jpg,奶牛猫
121,train/cat/cat.7685.jpg,孟买猫
122,train/cat/cat.3439.jpg,四川简州猫
123,train/cat/cat.2498.jpg,奶牛猫
124,train/dog/dog.7640.jpg,罗威纳犬
125,train/dog/dog.1977.jpg,美国猎狐犬
126,train/dog/dog.3456.jpg,可卡
127,train/cat/cat.948.jpg,中国狸花猫
128,train/dog/dog.4961.jpg,贵宾犬/贵妇犬
129,train/cat/cat.9158.jpg,孟买猫
130,train/cat/cat.1304.jpg,泰国暹罗猫
131,train/dog/dog.1882.jpg,小猎兔犬
132,train/dog/dog.11699.jpg,拉布拉多
